x,y
4.177511351724453093e+00,2.817200972007704030e-01
4.169340455610480944e+00,3.948998083827742756e-01
4.157110031335912836e+00,5.077222477076333007e-01
4.136433808875724871e+00,8.506731238472240442e-01
4.116734911726156909e+00,9.635761794635120392e-01
4.101688608932394509e+00,1.078069127534190264e+00
4.094010200661363896e+00,1.195535168032648921e+00
4.089625310474403364e+00,1.315515432331763268e+00
4.087383077411081089e+00,1.438120358414254341e+00
4.074935918417908809e+00,1.559059180554906554e+00
4.068155493892382957e+00,1.684196782612433774e+00
4.063038374435252287e+00,1.812544927892297819e+00
4.053922370572412781e+00,1.941838660792577942e+00
4.046091931655608320e+00,2.074692376270750316e+00
4.042776556373866903e+00,2.213332468040759782e+00
4.374358202984386601e+00,2.551291364305899645e+00
5.442420285394598878e+00,3.375096286824220915e+00
5.409113067574972789e+00,3.560908542526681764e+00
5.441853432696493797e+00,3.797726858638541092e+00
5.418185344160647787e+00,4.003802745156793463e+00
5.410133931836480059e+00,4.229201018413523805e+00
5.415355689398834826e+00,4.474879785782864161e+00
5.285341429029848825e+00,4.614045848068463407e+00
4.106268227686915573e+00,3.785602550240930508e+00
4.103947389957517622e+00,3.994514680090758052e+00
4.114168915603975130e+00,4.227507198590343407e+00
3.817969639498208334e+00,4.374099511207092839e+00
3.595505706154098480e+00,4.351823009001360987e+00
3.012565606059726786e+00,3.854363035571757301e+00
2.786989689155178862e+00,3.772106707036617212e+00
2.400978317052748334e+00,3.647738069080186385e+00
2.401912698377273614e+00,3.873781123036504237e+00
2.400850476120800270e+00,4.117119263244516603e+00
2.350836699982705280e+00,4.294692295558561135e+00
2.151491900791050682e+00,4.196634289095874770e+00
1.800295971622901670e+00,3.759143553912081437e+00
1.672526785339778943e+00,3.749918627617521594e+00
1.548127769942688303e+00,3.740267806619213875e+00
1.357514304743644651e+00,3.859201545380249065e+00
6.469308016211003931e-01,3.645035502939775185e+00
5.457116827838049966e-01,3.646391096207901139e+00
4.429571758655109770e-01,3.629066574366334397e+00
3.972285660498229287e-01,4.197245065729434010e+00
2.861148627535121669e-01,4.247374132977324912e+00
1.704462649488515946e-01,4.241576605362870289e+00
5.544598219246302251e-02,4.243637753966290838e+00
-5.956889484722471817e-02,4.244581908169908324e+00
-2.890000681931583215e-01,4.229136866383404580e+00
-4.034815580413505520e-01,4.219753820584728032e+00
-5.182774005833045150e-01,4.212235057528718407e+00
-7.506116332208155884e-01,4.205539772084476269e+00
-8.691398564846615216e-01,4.207161981983306376e+00
-9.043201112525633967e-01,2.802718277527057378e+00
-1.570223320088300456e+00,4.093147100517728454e+00
-1.680549818111159333e+00,4.049099501157307657e+00
-1.609208547857780003e+00,3.598584604782105067e+00
-1.672361880746678020e+00,3.483346433193951430e+00
-9.251148542810326836e-01,1.800205049630052789e+00
-1.033383146255727247e+00,1.768169582215496582e+00
-1.836831267665357981e+00,2.784770486963321634e+00
-1.947137230539725428e+00,2.784790946984788018e+00
-1.791008201678102152e+00,2.419171255639124496e+00
-2.237558924120353510e+00,2.857091298386155387e+00
-1.165045934315183995e+00,1.407336864821055578e+00
-1.156009041284822736e+00,1.321809079949571419e+00
-1.156118146610905173e+00,1.251801429171766733e+00
-1.196592279456815344e+00,1.227176788802496032e+00
-1.268135741823413820e+00,1.231931720476150183e+00
-2.195888276743138245e+00,2.020477785710619312e+00
-2.191771423730386026e+00,1.909656357347030653e+00
-2.208763022476198490e+00,1.821574711615411957e+00
-1.040742525841921617e+00,8.119452773295076087e-01
-1.031776752895684268e+00,7.608946003267779146e-01
-1.027396142095490017e+00,7.155145719908793112e-01
-1.072315093805525477e+00,7.044354619266556261e-01
-2.162457682478824417e+00,1.338142624753182020e+00
-2.155569645736935325e+00,1.254414322731024933e+00
-2.149273721486441691e+00,1.173977380920021352e+00
-1.105307236680023841e+00,5.281296914161540679e-01
-1.106419972944967745e+00,4.922964150953030860e-01
-1.106412006718146879e+00,4.567948503613201150e-01
-1.106236383403342183e+00,4.220155212400443778e-01
-1.104997398075950654e+00,3.875845187561033356e-01
-1.103666188116690039e+00,3.538389970640264948e-01
-1.101325956553268259e+00,3.204528586216280339e-01
-1.104767249382906602e+00,2.892286866942129775e-01
-1.099537484116860364e+00,2.562385699666441252e-01
-1.096279591711285972e+00,2.243478613384162212e-01
-1.091123400781488728e+00,1.926494563382324943e-01
-1.086051443461484745e+00,1.615437125276177333e-01
-1.084073225617590008e+00,1.313364312050236959e-01
-1.077277418328293379e+00,1.009821821285793175e-01
-1.072633448307217074e+00,7.129227232007713522e-02
-1.069175159791286855e+00,4.200702242180946733e-02
-1.069920803714507374e+00,1.302251997013022244e-02
-1.022177905470685211e+00,-1.266975557400028263e-01
-1.027268227085890162e+00,-1.556954108581286855e-01
-1.029562517380529840e+00,-1.847079608068175616e-01
-1.029075601424690678e+00,-2.135518778840116982e-01
-1.031671068521910151e+00,-2.434228523937115307e-01
-1.039197346664467281e+00,-2.751253845168097345e-01
-1.038077171080004080e+00,-3.051554096359072044e-01
-1.039893506361432296e+00,-3.365570000119686989e-01
-1.043590805996637005e+00,-3.692793182121700823e-01
-1.044402114356409061e+00,-4.017276809203551569e-01
-1.043289906835544789e+00,-4.341038579862664948e-01
-1.046657691290616032e+00,-4.691658282941564839e-01
-1.040770292509060946e+00,-5.008214573487986820e-01
-1.037486858523356315e+00,-5.343314958826027583e-01
-1.037525227057022992e+00,-5.704361834185180946e-01
-1.810046610972040559e+00,-1.268002931667845834e+00
-1.811972049336669777e+00,-1.343984182106964242e+00
-1.804787967301380025e+00,-1.416042365817891779e+00
-1.702114930621490885e+00,-1.491299371270355500e+00
-1.578873569471673788e+00,-1.628183571091269322e+00
-1.264578698447918370e+00,-1.454018532156275523e+00
-1.196753579212136653e+00,-1.453777813731891300e+00
-1.176118691486769841e+00,-1.597811220036128299e+00
-1.043974474919466378e+00,-1.592273049062204571e+00
-1.035128306430525225e+00,-1.676129321368305947e+00
-8.657926886615340267e-01,-1.490831627428723216e+00
-8.035447355461747820e-01,-1.474230960612085806e+00
-7.305731465955930259e-01,-1.431332196248533251e+00
-6.829168998986105965e-01,-1.432547921426498450e+00
-6.296519775354114667e-01,-1.418535346502014960e+00
-6.286840780963336428e-01,-1.526616325579202682e+00
-6.290503180096963520e-01,-1.653377418002764276e+00
-6.252892207680588177e-01,-1.787805803965381024e+00
-3.367164935196592657e-01,-1.053497928264827355e+00
-3.088841460003834971e-01,-1.065115727248043154e+00
-3.399828763565593270e-01,-1.303388143068639815e+00
-3.124561622942717554e-01,-1.346215087678693134e+00
-4.042176186727404197e-01,-1.984246331228219029e+00
-3.482305681501707828e-01,-1.982650881390801700e+00
-2.927745658490017444e-01,-1.980476565831090552e+00
-1.523337930049820099e-01,-1.266874292863881646e+00
-1.145319202851816931e-01,-1.233694997586841646e+00
-8.053974929722718112e-02,-1.228362412848161611e+00
-4.841728634849644386e-02,-1.261070845480503522e+00
-2.224871309040109268e-02,-1.972874600792499544e+00
3.115080181254459291e-02,-1.968753553949964763e+00
1.380316853647628461e-01,-1.968165757633667079e+00
1.912110871774422849e-01,-1.962707907821307662e+00
2.444439537485533775e-01,-1.957798853090408242e+00
2.987569741526784894e-01,-1.959354037414520189e+00
3.529778339220445149e-01,-1.957428798399768910e+00
4.079250176468527389e-01,-1.956935868430826231e+00
4.633336948134231803e-01,-1.955868566369641126e+00
5.043448862724292381e-01,-1.898139136956612516e+00
5.041040284327095167e-01,-1.709211202508597927e+00
4.999000322816874453e-01,-1.539889873287334288e+00
4.972949683373465435e-01,-1.401380276881200038e+00
7.513465441761453256e-01,-1.948133110819764369e+00
8.107847066925020219e-01,-1.943672795109425699e+00
8.291326769205977776e-01,-1.845282637370117662e+00
8.253925120976678409e-01,-1.711352421441604266e+00
8.232986825627212069e-01,-1.595056151119578436e+00
8.198873882050985440e-01,-1.488081205412798536e+00
8.168850278379445884e-01,-1.392011038474276763e+00
8.442445786849365197e-01,-1.353246534312106508e+00
1.171005524578532686e+00,-1.768442048771411423e+00
1.170234045235766240e+00,-1.667309520900198683e+00
1.169052807470004618e+00,-1.573186474287976866e+00
1.165517953732940093e+00,-1.482755556327240098e+00
8.716762451696893343e-01,-1.049131270215293732e+00
9.004419160583276849e-01,-1.025879808671813276e+00
1.849233829304306020e+00,-1.889727633011224039e+00
1.952208342904835359e+00,-1.889701465139635772e+00
2.055026661234392815e+00,-1.884093951265936928e+00
2.167997641767187122e+00,-1.882133768092960624e+00
2.384593336371750194e+00,-1.751969256242081441e+00
2.386819283116449419e+00,-1.655934341548012112e+00
2.381440898017486596e+00,-1.558350088891201857e+00
2.380224986761296346e+00,-1.467019097942823924e+00
2.368052887486237879e+00,-1.372404626712958153e+00
2.380649912945913105e+00,-1.294838290578097961e+00
2.749909795030611281e+00,-1.400497021523394281e+00
2.738984182899163677e+00,-1.302710481860145375e+00
3.854971600650453301e+00,-1.707000478516207398e+00
3.956232127971819779e+00,-1.625101820010550258e+00
3.938039204794451020e+00,-1.494252429049934383e+00
3.933645488101205512e+00,-1.371855769460978980e+00
3.928401246248409695e+00,-1.251716359165175207e+00
5.557879195810348172e+00,-1.127040322279921014e+00
5.604107171944833432e+00,-9.791349657119636785e-01
5.610770235935000017e+00,-8.243169310478843936e-01
5.562531413352310494e+00,-6.638154301766650001e-01
5.607353199560385804e+00,-5.155109775283545082e-01
5.601299623540033856e+00,-3.622300169876351283e-01
5.586074148467832678e+00,-2.094691236245195265e-01
4.186774116155442371e+00,-4.347191328077656958e-02
4.181415943625181875e+00,6.990026076150498979e-02
4.162152872971149442e+00,2.715225475724059589e-01
4.169199743518433365e+00,3.856692956397972938e-01
4.114939867922299044e+00,9.536486197883560223e-01
4.098541832165356169e+00,1.187116482419166230e+00
4.089640855085528770e+00,1.305637229895351803e+00
4.081084393058254101e+00,1.425860715832323766e+00
4.058773858668525136e+00,1.799987575597868039e+00
4.059974253506106301e+00,1.933809715691451547e+00
4.033703133289606946e+00,2.057187868674339448e+00
4.034444247900687230e+00,2.197292504151709736e+00
4.026188118126660775e+00,2.336415243652437024e+00
5.422759253204986862e+00,3.552881719082239709e+00
5.443592634742805636e+00,3.781227359551285971e+00
5.426492144233149517e+00,4.222861353613364344e+00
5.414338073352510605e+00,4.454106691641157134e+00
5.312045853267240325e+00,4.616883619527931693e+00
4.094020586847879173e+00,3.967417153539034569e+00
4.108045624407373531e+00,4.202747725470242557e+00
3.621638659054542408e+00,4.363940245524439376e+00
2.789289687925410544e+00,3.757959743009830156e+00
2.402347234786720076e+00,3.632458248850586102e+00
2.399820062709307589e+00,3.851533283776642946e+00
2.395709894810803320e+00,4.087690950236825493e+00
2.366028138570300143e+00,4.300043577988881260e+00
2.212914167890291939e+00,4.293240052518716432e+00
1.815906408641251080e+00,3.770505063797208845e+00
1.567470766545332905e+00,3.763637276214637950e+00
1.446595303322004478e+00,3.757131646975172767e+00
1.355951816908485430e+00,3.827938690313831493e+00
1.330952833073397734e+00,4.107759385905829674e+00
1.092901407155365767e+00,4.122595102039486648e+00
7.552316206521696440e-01,3.633338126895561793e+00
3.809763296111886577e-01,3.933593810679507641e+00
2.952144325839364258e-01,4.243744340686765426e+00
6.471558342645858386e-02,4.241506426623312898e+00
-2.800608666570922334e-01,4.234749290666050214e+00
-8.579157486899490204e-01,4.199258820181758445e+00
-8.954306223392937136e-01,3.424880104543296166e+00
-1.549140916928637202e+00,4.064807694073712341e+00
-1.685017927920994696e+00,4.085128749188003283e+00
-1.636659193418208202e+00,3.681601026308980007e+00
-1.660415567521320801e+00,3.477978845367139193e+00
-9.787627293198931655e-01,1.793285378726273693e+00
-1.838406687684919882e+00,2.800492851573376019e+00
-1.921036485073025490e+00,2.760323759733610771e+00
-2.163658546935391502e+00,2.775237479593986478e+00
-1.165774761947066862e+00,1.414516879230997226e+00
-1.255412390202911510e+00,1.224930834728468199e+00
-2.196611153640155134e+00,1.922357905374000531e+00
-2.187823764987959940e+00,1.812376514008946060e+00
-1.039747623029839252e+00,8.148409829482323730e-01
-1.066264973638020530e+00,7.899418106461384426e-01
-1.062422884540352053e+00,7.012749954625983051e-01
-2.158857686361867589e+00,1.262669445062756912e+00
-1.090638760846244004e+00,1.646699493490900168e-01
-1.011511788528649092e+00,-9.539375008366884900e-02
-1.028561516516720120e+00,-2.110950179540564686e-01
-1.034961544480885731e+00,-2.715781907539883133e-01
-1.037765330431281496e+00,-5.316005445544326191e-01
-1.033508799711782666e+00,-5.652817863741265159e-01
-1.058422062247573514e+00,-6.167396505496836046e-01
-1.047273440144595114e+00,-6.488777428134908654e-01
-1.807079243330323770e+00,-1.260029329365280892e+00
-1.806063701817939959e+00,-1.333476055704027052e+00
-1.803158586333007296e+00,-1.408390429285534706e+00
-1.434092856810965433e+00,-1.554542607452168879e+00
-1.359209510637920948e+00,-1.555925911842240605e+00
-1.048932763320134853e+00,-1.501986724618534774e+00
-1.024905914872419999e+00,-1.555743229821353601e+00
-6.262347105631165256e-01,-1.635185387329074924e+00
-6.248870926638732115e-01,-1.774169461827673100e+00
-3.399441058028911944e-01,-1.055613060269427361e+00
-3.095339305717664247e-01,-1.058677403510462911e+00
-3.138081792805328396e-01,-1.338711853468339319e+00
8.017089953199336982e-02,-1.967367163371497085e+00
1.336501968833799237e-01,-1.967465790339671283e+00
1.866248627379962222e-01,-1.960135732354319371e+00
5.088427594182237668e-01,-1.932118823748031566e+00
5.056918656165101389e-01,-1.728547579216192176e+00
4.995403517512372327e-01,-1.417557229899604643e+00
8.281266005984707634e-01,-1.726682132668985625e+00
1.167195673587375859e+00,-1.491606671297745379e+00
2.155576802655800428e+00,-1.879651044156954054e+00
2.390402858779333339e+00,-1.764317123441782265e+00
2.386465900368256676e+00,-1.663448538520939657e+00
2.384704578983384948e+00,-1.567960647962407084e+00
2.735220567274413206e+00,-1.308278579511472195e+00
3.952617387163358309e+00,-1.760609556986545421e+00
3.936950519805125115e+00,-1.627274578760280477e+00
3.934754983582603227e+00,-1.502879342925307338e+00
5.458443887665715089e+00,-1.431377220002827411e+00
5.575967679178156722e+00,-1.143436680341658906e+00
5.610809977950084182e+00,-9.929828143871870516e-01
5.614884602460800345e+00,-8.374965198694809265e-01
5.594505646408449273e+00,-3.741044782270058766e-01
5.588599088718489760e+00,-2.218298901509785370e-01
4.178559150544528755e+00,6.069263906244454221e-02
4.167899487622999999e+00,2.599824008329195690e-01
4.167546402032765052e+00,4.878256033053148810e-01
4.152789716013219667e+00,6.006283434131944876e-01
4.130799509563495953e+00,8.281684014051573506e-01
4.100177549925891007e+00,1.056078502497806992e+00
4.071254408451379980e+00,1.534955074607535330e+00
4.062400150066718396e+00,1.658749264105717547e+00
4.067189907645974323e+00,1.790837844958611313e+00
4.040862465723452424e+00,2.047518604059819669e+00
4.038394299573875301e+00,2.185826056949086382e+00
5.455033502350718599e+00,3.347030132660056001e+00
5.422616466962061565e+00,3.532989701698835638e+00
5.435915370416581460e+00,3.755432255043918310e+00
5.429759778496562994e+00,3.972869863843432103e+00
5.422854905439775663e+00,4.198190795305001721e+00
5.418483113421681097e+00,4.434866708207286123e+00
5.340889697574475292e+00,4.618724543282873185e+00
4.115001294362852668e+00,3.758336445446131879e+00
4.099419638946485200e+00,3.953199410482980625e+00
4.104962975238827916e+00,4.179167458703084037e+00
4.075300478608530952e+00,4.380435210732652962e+00
3.849942630908794516e+00,4.370001871998417720e+00
3.630144989239500131e+00,4.352961505138435605e+00
2.402364143323409973e+00,3.835794928050483943e+00
2.403078178429152167e+00,4.078722008019861178e+00
2.220815462631544168e+00,4.284653631605049640e+00
1.692419713290899352e+00,3.749761356031058313e+00
1.573521531859339628e+00,3.754606743231032606e+00
1.364349204423282336e+00,3.824953750696673982e+00
1.341143349239671601e+00,4.108651694608573379e+00
1.098400239657415955e+00,4.107678137438898425e+00
3.875940251177883988e-01,3.917874443756945269e+00
1.882963685686372401e-01,4.239820765246239631e+00
7.316489325516761788e-02,4.236368232509743592e+00
-5.005303239935849913e-01,4.211359861511595248e+00
-7.325137165353772239e-01,4.203654879735983840e+00
-1.418811514895269577e+00,4.072952814506485275e+00
-1.529416481403925721e+00,4.034861920837267135e+00
-1.633783163886366241e+00,3.692722225677329551e+00
-9.230207885006482815e-01,1.813631156913266151e+00
-1.078865510660857563e+00,1.751370288712918111e+00
-1.832061191872633499e+00,2.801064085378794477e+00
-1.921001339178587397e+00,2.770089385214198785e+00
-2.156669424979491545e+00,2.775608533067116745e+00
-2.203730012510759284e+00,2.042938990706589575e+00
-1.112173496386976490e+00,4.637835889295234826e-01
-1.087591775658065085e+00,1.354992005882335038e-01
-1.028719019964010828e+00,-5.615347686841440922e-01
-1.798589121908259036e+00,-1.482780694667985122e+00
-1.717010215340912582e+00,-1.495528232624596221e+00
-1.682209286558620231e+00,-1.633767746773669982e+00
-1.589821364727318498e+00,-1.630091041144286157e+00
-1.378649921082431229e+00,-1.576122082347096942e+00
-1.144442504501021363e+00,-1.461159524367289908e+00
-1.034603295979766413e+00,-1.568514209823031580e+00
-8.147613181993031972e-01,-1.485193594704887543e+00
-6.243051146091174175e-01,-1.504620867890336555e+00
-6.213330598518392867e-01,-1.761638255360283400e+00
5.108783230605250525e-01,-1.746826702896560057e+00
5.068415404189801077e-01,-1.573378734903701837e+00
8.356737742170572414e-01,-1.870842175251004935e+00
8.337589152536708514e-01,-1.738398679322069151e+00
8.298831108126171197e-01,-1.616410571839501875e+00
1.179379589792452165e+00,-1.789277033011412055e+00
1.175295729943313550e+00,-1.588475922059270795e+00
1.837766456134827031e+00,-1.885551089290439464e+00
1.934104757206737579e+00,-1.879640373099494166e+00
2.035854185981097242e+00,-1.873922760351298900e+00
1.457949394568709423e+00,-1.270724054190259578e+00
1.476435091630003305e+00,-1.218004742038164334e+00
2.398443304228778494e+00,-1.670748121372133577e+00
2.387697149856220946e+00,-1.568869645185764439e+00
3.944456140334319016e+00,-1.383352566011211593e+00
5.614297293481568474e+00,-9.904894427178745353e-01
5.612689081008570113e+00,-3.719492975220819453e-01
4.187701376018255317e+00,-5.002877917538325891e-02
4.152482558139178437e+00,4.788393981919444320e-01
4.140204984490802431e+00,7.061877117485824140e-01
4.118358865817660863e+00,9.342642405589571819e-01
4.116755729190969326e+00,1.051819320084008469e+00
4.106759642198412052e+00,1.412860105574697434e+00
4.102602340451490193e+00,1.536819899594646266e+00
4.090084661639344255e+00,1.659699901701475744e+00
4.044058066071155366e+00,1.901986890280092712e+00
4.037539795289609934e+00,2.034136812909327130e+00
4.025036133666024085e+00,2.166362395677576824e+00
4.025648733596399076e+00,2.309335697048107594e+00
5.431615452407378086e+00,3.314411185891239953e+00
5.417969987646737096e+00,3.510774172743067023e+00
5.406683949055729244e+00,3.715019236059311947e+00
5.410888460557979229e+00,3.937657792789340583e+00
5.414055930707035280e+00,4.168679632868822260e+00
5.379905305674570037e+00,4.379336147973094562e+00
4.987013709670930162e+00,4.529554404724210670e+00
4.095350219363195876e+00,3.927133834817388980e+00
4.088764447877005992e+00,4.138976615721419172e+00
3.893970829835806224e+00,4.393817244898936991e+00
3.667573236255770475e+00,4.371194443044224442e+00
3.076610071895239162e+00,3.875199867427464806e+00
2.776084928462650314e+00,3.697935794500847084e+00
2.766388455370023536e+00,3.900592203014749071e+00
2.386421571874850045e+00,3.783215765051213264e+00
2.384732395403882599e+00,4.017540884758946440e+00
1.842471563573552462e+00,3.770955815382462273e+00
1.717768277117118325e+00,3.771207842158402990e+00
1.588960968233138038e+00,3.754614919311721088e+00
1.471446043175949958e+00,3.757135918573825784e+00
1.364132209883905045e+00,3.781473675778587840e+00
1.087217608801954283e+00,4.006090246253653397e+00
7.595975225441060630e-01,3.548612719073380717e+00
6.857589420859999674e-01,3.688799177872598367e+00
5.750578662522751738e-01,3.638841101626743679e+00
4.739071488193565274e-01,3.634231243974521686e+00
3.830566945377087973e-01,3.720331657272598846e+00
3.216942278903472952e-01,4.250844847946623872e+00
-2.409539894900780688e-02,4.249931694951047945e+00
-2.541395160057677294e-01,4.244398175675478058e+00
-3.684849508025092590e-01,4.230984482120954127e+00
-4.826318258653468640e-01,4.217474427789515090e+00
-8.308942498307755331e-01,4.203669639484048481e+00
-1.190141991390205378e+00,4.196499248241503111e+00
-1.291629525153298319e+00,4.125532907876241495e+00
-1.541664608377594003e+00,4.126414555481255242e+00
-1.382935516264525821e+00,3.167242645817191171e+00
-1.820923607011272205e+00,2.815465453276340124e+00
-1.887971698638455376e+00,2.752781731245227625e+00
-1.909230543118213719e+00,2.484054566197455571e+00
-1.164707385812469909e+00,1.356613674226922583e+00
-1.152634446090671894e+00,1.271255166947938609e+00
-1.179011581554139321e+00,1.231648016643769994e+00
-1.233237550102650459e+00,1.220389361906912606e+00
-2.197090607550097108e+00,1.950547781847733475e+00
-2.190897354737006530e+00,1.841470259195191472e+00
-1.171622988674490440e+00,7.404699018253743104e-01
-2.153681587755329030e+00,1.203222612905491484e+00
-2.153565671386489022e+00,1.127792477012092842e+00
-1.106468717384843981e+00,5.418034339128566801e-01
-1.112539942996157771e+00,5.079212503310449600e-01
-1.114339296039321692e+00,4.030791456899061043e-01
-1.111551025430792539e+00,3.683684660740855210e-01
-1.098903332420890555e+00,2.675304859479772368e-01
-1.060987750605098201e+00,-5.096155930497656139e-03
-1.008259333625540322e+00,-8.693126444623014426e-02
-1.038890991202248815e+00,-3.554006433601221149e-01
-1.046061793321052535e+00,-4.556707128482448410e-01
-1.039145928000147157e+00,-5.569710832213445872e-01
-1.058421955866932773e+00,-6.047345857173336281e-01
-1.808599644292028241e+00,-1.311382164661459848e+00
-1.806561284826148306e+00,-1.386024927023172593e+00
-1.685958003709120634e+00,-1.525982073540892880e+00
-1.679466246264772256e+00,-1.604905578213346562e+00
-1.480641032995572814e+00,-1.576791550420176602e+00
-1.391569643814084101e+00,-1.564726924986556966e+00
-1.213453733318401007e+00,-1.441175154199652919e+00
-1.053701516306337460e+00,-1.480270998466246102e+00
-8.851096053473149761e-01,-1.485268289194094704e+00
-8.343292472433714302e-01,-1.490355165135051507e+00
-7.523307046322598168e-01,-1.433582706018610375e+00
-7.009204922285431349e-01,-1.428282653803454760e+00
-6.320026159532163845e-01,-1.486202450621035398e+00
-6.314727403663450422e-01,-1.604187675820931469e+00
-4.283445956961892120e-01,-1.984293524451545832e+00
-3.722701569377480091e-01,-1.983365441886106639e+00
-3.165614270086573034e-01,-1.980864718066446706e+00
-2.624413723180521463e-01,-1.985732512234475777e+00
-9.455724826914824188e-02,-1.221345154005336608e+00
-6.277219152708325700e-02,-1.249424174925975128e+00
7.751592269381796241e-03,-1.968984723521609581e+00
6.106924837054273497e-02,-1.969053239409173983e+00
1.676935116434669637e-01,-1.964856966152130902e+00
2.211457829444249401e-01,-1.962579842162156973e+00
2.751527013161316204e-01,-1.962807928579839434e+00
3.291677040603916415e-01,-1.960559298491261426e+00
3.832618222111894291e-01,-1.956820433328572140e+00
4.382686718495831801e-01,-1.955488779019088241e+00
4.942177066485644588e-01,-1.955514688478688701e+00
4.989635063245551061e-01,-1.771054923538386117e+00
4.944190435015605178e-01,-1.588850503880341547e+00
4.917160111407172240e-01,-1.441438299129604195e+00
8.385837536806899362e-01,-1.929661543721260308e+00
8.710326600013458265e-01,-1.864582115740883062e+00
8.670168857062453549e-01,-1.732123223183774652e+00
8.598105778238642749e-01,-1.607499487826220097e+00
8.554492594917866288e-01,-1.500245165913548728e+00
8.500964837300576393e-01,-1.401305519522635601e+00
8.606297531062467865e-01,-1.335753489846612130e+00
1.211272777166508163e+00,-1.772689363287145659e+00
1.209555904967313023e+00,-1.671210149333116179e+00
1.200837584348982245e+00,-1.567996871868767350e+00
1.200043365080363467e+00,-1.482074463243905793e+00
8.906187900119451051e-01,-1.041008253542207385e+00
9.110922905371720004e-01,-1.008360922483998001e+00
1.816046923349718067e+00,-1.903716048415396100e+00
1.911608229207225174e+00,-1.898259731664136307e+00
2.012542282187073539e+00,-1.893103965884942230e+00
2.122774194305748985e+00,-1.891157939267186672e+00
2.385710773243520322e+00,-1.800695864581636219e+00
2.381464352899429926e+00,-1.698308645953251039e+00
2.374291545215263532e+00,-1.598056192007444754e+00
2.369385950321300616e+00,-1.503211956547680694e+00
2.364554947306721999e+00,-1.411876629707443209e+00
2.364398031601398831e+00,-1.326326793067921006e+00
2.673800289105845884e+00,-1.406140981842106008e+00
2.730618930540930744e+00,-1.342970272082889549e+00
3.925460956798934475e+00,-1.427615375044330337e+00
3.916174798604612928e+00,-1.305357097352348728e+00
3.872212777627766833e+00,-9.498089879133940761e-01
5.608732207195537889e+00,-1.215829853548012318e+00
5.630759259499419578e+00,-9.048535487853388570e-01
5.627413105534418314e+00,-7.486997124377272605e-01
5.622793271080147370e+00,-4.402207680849984928e-01
5.612674013112426863e+00,-2.868608307464400320e-01
5.591389592782503470e+00,-1.342039355348702001e-01
4.178980201442890063e+00,1.283148409642248522e-02
4.177102124616497214e+00,1.259285970704234203e-01
4.167306453081072171e+00,2.179099541616219549e-01
4.161376527471664311e+00,4.440381939345208195e-01
4.149837742286943687e+00,5.566093959360303156e-01
4.142192527684943393e+00,7.854283793364623678e-01
4.129222808486523455e+00,8.992183156689821377e-01
4.116034632682404215e+00,1.013596851108915509e+00
4.109313367467049005e+00,1.130569928540104074e+00
4.109783067380892163e+00,1.251119167723514281e+00
4.106715077362806277e+00,1.372512518214474175e+00
4.096306511086309499e+00,1.493276307813639070e+00
4.087929047171846797e+00,1.616679096282573891e+00
4.089644386855938230e+00,1.746601851182213894e+00
4.092741424569502406e+00,1.880288625554515258e+00
4.079002769820601948e+00,2.009214965940786524e+00
5.411877645289963290e+00,3.436931548139992909e+00
