x,y
6.380681299373084370e-01,-4.142858299695774349e+00
7.446642656384824255e-01,-4.124010683715203740e+00
8.509149656927141869e-01,-4.103396171672128112e+00
9.575105695580123921e-01,-4.083934731880590085e+00
1.064935014828569226e+00,-4.066533986665642253e+00
1.174046978215295134e+00,-4.053021635467130679e+00
1.073962769528060690e+00,-3.379051408136617418e+00
1.386650177809738871e+00,-4.001112731939221234e+00
1.494436202202634290e+00,-3.977037353672807640e+00
1.273885736495426801e+00,-3.142095880034609046e+00
1.719365114105785519e+00,-3.943981157833737150e+00
1.833764014182213575e+00,-3.926297145880278006e+00
1.947942146718675716e+00,-3.904416017184017651e+00
2.062675847061851808e+00,-3.880116254027354827e+00
2.181878276864360533e+00,-3.860303517702976528e+00
2.309660384667727495e+00,-3.850609339352437654e+00
2.431938228949097613e+00,-3.826726964192586955e+00
2.562329221528865997e+00,-3.810679513619698255e+00
2.691755566140498601e+00,-3.787966237484977849e+00
2.583834002185800838e+00,-3.444473054217131569e+00
3.907981119562796035e+00,-4.936060194014397773e+00
4.054696704259337814e+00,-4.857907580737102826e+00
4.412762819308395201e+00,-5.017114839572876406e+00
4.621811814396993512e+00,-4.988570718055981956e+00
4.814114032350534700e+00,-4.933907647076201997e+00
5.067585870969573136e+00,-4.931832932936599967e+00
5.133763809573997250e+00,-4.744193956424983760e+00
4.215893550747152219e+00,-3.699747330980818205e+00
4.423040909181324309e+00,-3.683470795510915607e+00
4.625024363148832585e+00,-3.653313526693443336e+00
4.800300806882071392e+00,-3.594155460568700278e+00
4.767430275806253448e+00,-3.380989987785404161e+00
4.732642775491923359e+00,-3.175879796780714415e+00
4.163255126634024528e+00,-2.641154599739156783e+00
4.000782140460695580e+00,-2.395697987029338449e+00
4.205035573321415754e+00,-2.372356171790539037e+00
3.902426599790747019e+00,-2.071065384216802308e+00
3.304753172216138957e+00,-1.541668340527926118e+00
4.534414407729532748e+00,-1.834265785411690386e+00
3.990904695934242241e+00,-1.496376844091323433e+00
3.968532872380994725e+00,-1.372172106715431772e+00
3.928140177260557753e+00,-1.245622140831673663e+00
3.916583825853093170e+00,-1.131478659576100165e+00
3.931785367972992162e+00,-1.026555863584402095e+00
3.009031888884530215e+00,-7.046146786040158316e-01
4.429905027959663677e+00,-9.142574521764594841e-01
4.421379711456192574e+00,-7.939588975943443483e-01
3.909327158099297428e+00,-5.989006668028504787e-01
4.361639792729066656e+00,-4.382422539230704239e-01
3.768943933808861946e+00,-2.813809458038123990e-01
3.907643209901147330e+00,-1.900639794202695632e-01
3.689129588787789071e+00,-8.428006585359273939e-02
3.662904193238422756e+00,1.101394697459553811e-02
3.878120166704778882e+00,1.123865138946623377e-01
4.266115694566585681e+00,2.348489321983153466e-01
4.243493388041747139e+00,3.438556061901967276e-01
4.234996171935692111e+00,4.536918142972561907e-01
4.219690763043757897e+00,5.627878259179429632e-01
2.843158663941509623e+00,4.521326711219902372e-01
4.195408637821165243e+00,7.822293510083266899e-01
4.164801199266155329e+00,8.885671890138927553e-01
4.138309060838031961e+00,9.954987647733261058e-01
4.113900251690568943e+00,1.102961582618063652e+00
3.438805191762403179e+00,1.016931071871023162e+00
4.082387993821487093e+00,1.324407877142336210e+00
4.073922564722749051e+00,1.439234267144217538e+00
3.609524234207034610e+00,1.380488028201697137e+00
3.894851172898371239e+00,1.606969224215814451e+00
3.102650957513100050e+00,1.373742532647177939e+00
2.662362570199183320e+00,1.261259677842691884e+00
2.917477560318062935e+00,1.476543243298497066e+00
2.092889724432160037e+00,1.126239226561597695e+00
1.886941711519491305e+00,1.078716854616588394e+00
1.900059938851661023e+00,1.152667396400037569e+00
3.271856222974902195e+00,2.108111992643336929e+00
3.249079699998510318e+00,2.214588665150305502e+00
2.911702950452295102e+00,2.096400607773559077e+00
2.950954880506158062e+00,2.243149360632881617e+00
2.626068109895916436e+00,2.104970383090937869e+00
2.568282881715755028e+00,2.170224853290352751e+00
2.310512439146501951e+00,2.056686059621419371e+00
2.223598291009605266e+00,2.084896328219530304e+00
2.280981130423711978e+00,2.252904919944394457e+00
2.393350883857377820e+00,2.490191154909303428e+00
2.251252758804497489e+00,2.466911954187654299e+00
2.118546778099505534e+00,2.445577343457236097e+00
1.994199870950749132e+00,2.426047111548003343e+00
1.876615532674476006e+00,2.407301763403301820e+00
1.766114415862889420e+00,2.390590024134137792e+00
1.164779889328184437e+00,1.662706443630892039e+00
1.092034857837624440e+00,1.648005123614215028e+00
1.029836954186473363e+00,1.645116832582372846e+00
9.969002806116161741e-01,1.688421108736243514e+00
1.284827693437973650e+00,2.313867080462272963e+00
1.140756693890506490e+00,2.331315151262290719e+00
1.059575652852148275e+00,2.315429918041465918e+00
4.476389195162330803e-01,1.044373720467843158e+00
4.203040380596506087e-01,1.055576171212118775e+00
3.906303793809884906e-01,1.060431961029988823e+00
3.606688420705631559e-01,1.063519199680944105e+00
3.319858857460619705e-01,1.069598358247841219e+00
3.048447380233898496e-01,1.080690078253810471e+00
2.758857813873463183e-01,1.085277777344473948e+00
2.473313255520173948e-01,1.091048222898545417e+00
2.186624780271107515e-01,1.096072812187203649e+00
1.898987190134720782e-01,1.100349609937658624e+00
1.599178692721972550e-01,1.095958695438626451e+00
1.312279153410390309e-01,1.098708666928311040e+00
1.016802088958549122e-01,1.091750479862106715e+00
7.310455200684767840e-02,1.091992749528176487e+00
4.430591918021443282e-02,1.084498749780816507e+00
1.599887727179578195e-02,1.080255685095411033e+00
-1.203556168378524388e-02,1.073281904794311847e+00
-3.981285687927412636e-02,1.068587588520886644e+00
-6.729238441962123729e-02,1.062183718822960588e+00
-1.223595426659289387e-01,1.056231313825120255e+00
-2.952136413354478628e-01,2.074391604071108564e+00
-3.487758856255213091e-01,2.065048898738886862e+00
-1.721512403754358045e-01,8.785949379459556674e-01
-1.897773211509561908e-01,8.503945157067437366e-01
-2.391915273777239226e-01,8.586561339284445316e-01
-2.597393666634001952e-01,8.464171914989131462e-01
-2.842523387889558939e-01,8.469765546978609283e-01
-3.000928400147904740e-01,8.223949845563240935e-01
