x,y
-1.625266626390841296e+00,1.150038963337535414e+00
-1.677782755834752448e+00,1.121324471345413132e+00
-1.741897083564006632e+00,9.725325543636117454e-01
-1.763650645132897488e+00,9.239142957962358516e-01
-1.475130014115476618e+00,1.160655136030144252e+00
-1.498307167524022487e+00,1.115571488412918200e+00
-1.493377412316433173e+00,1.145315585118316104e+00
-1.512142698683105912e+00,1.096744533988223580e+00
-1.754075209606948738e+00,9.440784365993565297e-01
-1.779590863870401440e+00,8.972767013982173578e-01
-1.858932400572449462e+00,-7.618737316674852877e-01
-1.819593771502857615e+00,-8.032430259598063449e-01
-1.520481997617370906e+00,1.085153725946311098e+00
-1.759683779896997757e+00,9.293078245251414904e-01
-1.786638954770791043e+00,8.831593100560071186e-01
-1.868194775462770796e+00,-7.279242679301890506e-01
-1.833274645939414249e+00,-7.715082142147131616e-01
-1.655258158521907941e+00,1.095602795468306523e+00
-1.606691786092262708e+00,1.120813307770384792e+00
-1.796027895646515216e+00,8.639056196730159343e-01
-1.921996160395587516e+00,4.040132509957577445e-01
-1.925243940376600627e+00,3.511194059453904281e-01
-1.513877517790014116e+00,-1.151424627357578778e+00
-1.491059681598063458e+00,-1.198461504796390464e+00
-1.471486855679422279e+00,1.163659146354207863e+00
-1.962125806822795804e+00,7.705364930157505565e-01
-1.978315108460166893e+00,7.163000187715703460e-01
-1.870165003956473670e+00,-7.393264016036303898e-01
-1.800670319815785181e+00,8.588430696933641029e-01
-1.486313275721777183e+00,-1.201163559821228022e+00
-1.643265695157291706e+00,1.125940402742866331e+00
-1.681148479067905210e+00,1.087080569940356289e+00
-2.087484286027803115e+00,3.975353513676425088e-01
-2.111177413513642076e+00,3.438759479251990436e-01
-1.514634462545326077e+00,1.105218279286961369e+00
-1.509448253425389908e+00,-1.162149242234433055e+00
-1.752386004382832763e+00,9.885785903764542359e-01
-1.931933286030478758e+00,8.077562761688812376e-01
-1.966863924887029436e+00,7.611354440634394702e-01
-2.092883927468278227e+00,4.270041168099529272e-01
-2.119346842568492928e+00,3.734605032061905083e-01
-1.524332299975446281e+00,-1.177237034576305463e+00
-1.481940659844275920e+00,1.137222930965598122e+00
-1.502621561348240098e+00,-1.167706055684530453e+00
-1.476925616353912618e+00,-1.212687830724305194e+00
-1.547964396980905821e+00,1.082648348015836426e+00
-1.629689364417185704e+00,1.135036715017560871e+00
-1.765524177258051886e+00,9.670022883071132114e-01
-1.612490628805688164e+00,1.138661442945746005e+00
-1.613383213126920346e+00,1.170061421141353142e+00
-1.767599258169347820e+00,9.484877599997766362e-01
-1.672190511469940910e+00,1.088027532912517970e+00
-1.608391858872572966e+00,1.168426193051733675e+00
-2.075956861789089114e+00,4.298867557407610174e-01
-2.073095206942211721e+00,3.708261560464193862e-01
-2.050252267642485915e+00,4.306863811449189727e-01
-1.760405938814921356e+00,9.106563040591110214e-01
-2.074045730094120188e+00,3.596656638848449994e-01
-2.058901098380907513e+00,3.926093264136359950e-01
-2.076161084000828438e+00,3.349087045904944326e-01
-1.514475789096831893e+00,1.113895446759008312e+00
-1.459196034938334385e+00,-1.226206752832884606e+00
-1.661312142683347703e+00,1.084572651282870837e+00
-1.849070405366873171e+00,-7.726282609319633510e-01
-1.812897904616182387e+00,-8.158096148827812533e-01
-1.696049594942916627e+00,1.076799435548216222e+00
-1.464533339975655490e+00,-1.241588470993844284e+00
-1.789743054396990551e+00,8.881575885683580251e-01
-1.937714485638713624e+00,8.016676893708998275e-01
-1.450167723369501838e+00,-1.239950621994096336e+00
-2.061684866485938183e+00,3.832284218820984911e-01
-1.862526803479599424e+00,-7.662830159089143445e-01
-1.817612344510763478e+00,8.416023105548787742e-01
-1.811621382483246334e+00,-8.234852788518625122e-01
-1.956860359536576777e+00,7.509416417907956998e-01
-1.986621888485545551e+00,7.019850044029420921e-01
-1.514170762854029517e+00,-1.188659630565344960e+00
