time,x,y,yaw,cov_prop
1786901015.5699942,9.27954416807863e-15,-2.813104978566185e-29,-1.2434497875801753e-14,"[ 9.99980066e-03 -9.19053198e-25  0.00000000e+00  0.00000000e+00
  0.00000000e+00  6.73849127e-10 -9.19053198e-25  9.99980000e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.27936099e-17
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.73849127e-10  9.27936099e-17
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99981369e-03]"
1786901015.620411,1.5294586844568282e-14,-1.0292283339488115e-28,-2.042810365310288e-14,"[ 9.99970120e-03 -3.59085135e-24  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.23044259e-09 -3.59085135e-24  9.99970001e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.52941380e-16
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.23044259e-09  1.52941380e-16
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99972500e-03]"
1786901015.6722527,2.5097218433947e-14,-3.355674188947171e-28,-3.375077994860476e-14,"[ 9.99950194e-03 -7.13303570e-24  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.97417541e-09 -7.13303570e-24  9.99950002e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.50959997e-16
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.97417541e-09  2.50959997e-16
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99954012e-03]"
1786901015.7224765,3.064678664368657e-14,-5.2286213239819795e-28,-4.1300296516055823e-14,"[ 9.99940242e-03 -1.17799420e-23  0.00000000e+00  0.00000000e+00
  0.00000000e+00  2.44991217e-09 -1.17799420e-23  9.99940004e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.06450047e-16
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.44991217e-09  3.06450047e-16
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99944979e-03]"
1786901015.7689323,4.171200161709026e-14,-1.018927090850185e-27,-5.551115123125783e-14,"[ 9.99920337e-03 -2.37822819e-23  0.00000000e+00  0.00000000e+00
  0.00000000e+00  3.39959765e-09 -2.37822819e-23  9.99920006e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.17087774e-16
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  3.39959765e-09  4.17087774e-16
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99926911e-03]"
1786901015.826565,4.628582460805444e-14,-1.272809665960889e-27,-6.17284001691587e-14,"[ 9.99910370e-03 -2.57109357e-23  0.00000000e+00  0.00000000e+00
  0.00000000e+00  3.72357026e-09 -2.57109357e-23  9.99910008e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.62818015e-16
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  3.72357026e-09  4.62818015e-16
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99917571e-03]"
1786901016.262762,5.728719884934653e-14,-1.9906477841410604e-27,-7.593925488436071e-14,"[ 9.99890465e-03 -4.22523594e-23  0.00000000e+00  0.00000000e+00
  0.00000000e+00  4.66572922e-09 -4.22523594e-23  9.99890012e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.72811222e-16
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.66572922e-09  5.72811222e-16
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99899488e-03]"
1786901016.2818906,5.728719884934653e-14,-1.9906477841410604e-27,-7.593925488436071e-14,"[ 9.99890465e-03 -4.22523594e-23  0.00000000e+00  0.00000000e+00
  0.00000000e+00  4.66572922e-09 -4.22523594e-23  9.99890012e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.72811222e-16
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.66572922e-09  5.72811222e-16
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99899488e-03]"
1786901016.353248,1.258936994004879e-13,-7.334623528273613e-27,-1.6697754290362354e-13,"[ 9.99877279e-03 -4.79030613e-21  0.00000000e+00  0.00000000e+00
  0.00000000e+00  7.47451686e-08 -4.79030613e-21  9.99870017e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.25877892e-15
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  7.47451686e-08  1.25877892e-15
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00002183e-02]"
1786901016.370077,1.3565830513121826e-13,-8.964986288983747e-27,-1.7985612998927536e-13,"[ 9.99867426e-03 -4.30147994e-21  0.00000000e+00  0.00000000e+00
  0.00000000e+00  7.62297790e-08 -4.30147994e-21  9.99860020e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.35641330e-15
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  7.62297790e-08  1.35641330e-15
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00001485e-02]"
