time,x,y,yaw,cov_prop,K_gain,innovation
1786946954.4909933,9.600688773871352e-09,-2.214016621225553e-21,-4.605205106145149e-13,"[ 9.99970038e-03 -1.46974814e-22  0.00000000e+00  0.00000000e+00
  0.00000000e+00  3.83653017e-10 -1.46974814e-22  9.99970001e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.52544393e-22
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  3.83653017e-10 -1.52544393e-22
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99970780e-03]","[[ 9.99970038e-06 -1.46974814e-25  3.83653017e-13]
 [-1.46974814e-25  9.99970001e-06 -1.52544393e-25]
 [ 3.83653017e-13 -1.52544393e-25  9.99970780e-06]]",[-9.60078478e-09  2.21403876e-21  4.60520511e-13]
1786946954.5406187,9.60068877578846e-09,-2.214016621666992e-21,-4.605205106145149e-13,"[ 9.99950070e-03 -2.85874265e-22  0.00000000e+00  0.00000000e+00
  0.00000000e+00  6.94066579e-10 -2.85874265e-22  9.99950002e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.91052422e-22
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.94066579e-10 -2.91052422e-22
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99951412e-03]","[[ 9.99950070e-06 -2.85874265e-25  6.94066579e-13]
 [-2.85874265e-25  9.99950002e-06 -2.91052422e-25]
 [ 6.94066579e-13 -2.91052422e-25  9.99951412e-06]]",[-9.60078478e-09  2.21403876e-21  4.60520511e-13]
1786946954.6009536,9.600688777700525e-09,-2.214016622106128e-21,-4.605205106145149e-13,"[ 9.99930142e-03 -6.06165484e-22  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.40985872e-09 -6.06165484e-22  9.99930005e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -7.24195765e-22
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.40985872e-09 -7.24195765e-22
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99932868e-03]","[[ 9.99930142e-06 -6.06165484e-25  1.40985872e-12]
 [-6.06165484e-25  9.99930005e-06 -7.24195765e-25]
 [ 1.40985872e-12 -7.24195765e-25  9.99932868e-06]]",[-9.60078478e-09  2.21403876e-21  4.60520511e-13]
1786946954.6379728,9.600688779615993e-09,-2.2140166225468477e-21,-4.605205106145149e-13,"[ 9.99910178e-03 -7.58475996e-22  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.75024364e-09 -7.58475996e-22  9.99910008e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -8.96747737e-22
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.75024364e-09 -8.96747737e-22
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99913563e-03]","[[ 9.99910178e-06 -7.58475996e-25  1.75024364e-12]
 [-7.58475996e-25  9.99910008e-06 -8.96747737e-25]
 [ 1.75024364e-12 -8.96747737e-25  9.99913563e-06]]",[-9.60078478e-09  2.21403876e-21  4.60520511e-13]
1786946954.6909096,9.600688782490831e-09,-2.2140166232087116e-21,-4.605205106145149e-13,"[ 9.99880236e-03 -9.94138399e-22  0.00000000e+00  0.00000000e+00
  0.00000000e+00  2.27690420e-09 -9.94138399e-22  9.99880014e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.18980492e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.27690420e-09 -1.18980492e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99884639e-03]","[[ 9.99880236e-06 -9.94138399e-25  2.27690420e-12]
 [-9.94138399e-25  9.99880014e-06 -1.18980492e-24]
 [ 2.27690420e-12 -1.18980492e-24  9.99884639e-06]]",[-9.60078478e-09  2.21403876e-21  4.60520511e-13]
1786946954.7391272,9.60068878440779e-09,-2.214016623650162e-21,-4.605205106145149e-13,"[ 9.99860269e-03 -1.12353719e-21  0.00000000e+00  0.00000000e+00
  0.00000000e+00  2.56608547e-09 -1.12353719e-21  9.99860020e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.29536691e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.56608547e-09 -1.29536691e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99865231e-03]","[[ 9.99860269e-06 -1.12353719e-24  2.56608547e-12]
 [-1.12353719e-24  9.99860020e-06 -1.29536691e-24]
 [ 2.56608547e-12 -1.29536691e-24  9.99865231e-06]]",[-9.60078478e-09  2.21403876e-21  4.60520511e-13]
1786946954.7898715,9.600688787282028e-09,-2.2140166243118166e-21,-4.605205106145149e-13,"[ 9.99830331e-03 -1.36844587e-21  0.00000000e+00  0.00000000e+00
  0.00000000e+00  3.11340989e-09 -1.36844587e-21  9.99830029e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.49920745e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  3.11340989e-09 -1.49920745e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99836352e-03]","[[ 9.99830331e-06 -1.36844587e-24  3.11340989e-12]
 [-1.36844587e-24  9.99830029e-06 -1.49920745e-24]
 [ 3.11340989e-12 -1.49920745e-24  9.99836352e-06]]",[-9.60078478e-09  2.21403876e-21  4.60520511e-13]
1786946954.8379118,9.600688789198392e-09,-2.2140166247530362e-21,-4.605205106145149e-13,"[ 9.99810366e-03 -1.49271272e-21  0.00000000e+00  0.00000000e+00
  0.00000000e+00  3.39112220e-09 -1.49271272e-21  9.99810036e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.59426861e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  3.39112220e-09 -1.59426861e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99816924e-03]","[[ 9.99810366e-06 -1.49271272e-24  3.39112220e-12]
 [-1.49271272e-24  9.99810036e-06 -1.59426861e-24]
 [ 3.39112220e-12 -1.59426861e-24  9.99816924e-06]]",[-9.60078478e-09  2.21403876e-21  4.60520511e-13]
1786946954.9057178,9.600688792073732e-09,-2.214016625415262e-21,-4.605205106145149e-13,"[ 9.99780417e-03 -1.67341237e-21  0.00000000e+00  0.00000000e+00
  0.00000000e+00  3.79495074e-09 -1.67341237e-21  9.99780048e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.77601400e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  3.79495074e-09 -1.77601400e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99787756e-03]","[[ 9.99780417e-06 -1.67341237e-24  3.79495074e-12]
 [-1.67341237e-24  9.99780048e-06 -1.77601400e-24]
 [ 3.79495074e-12 -1.77601400e-24  9.99787756e-06]]",[-9.60078478e-09  2.21403876e-21  4.60520511e-13]
1786946954.9382205,9.600688793988486e-09,-2.2140166258557846e-21,-4.605205106145149e-13,"[ 9.99760473e-03 -1.88843155e-21  0.00000000e+00  0.00000000e+00
  0.00000000e+00  4.27547843e-09 -1.88843155e-21  9.99760058e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.04508342e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.27547843e-09 -2.04508342e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99768741e-03]","[[ 9.99760473e-06 -1.88843155e-24  4.27547843e-12]
 [-1.88843155e-24  9.99760058e-06 -2.04508342e-24]
 [ 4.27547843e-12 -2.04508342e-24  9.99768741e-06]]",[-9.60078478e-09  2.21403876e-21  4.60520511e-13]
