time,x,y,yaw,cov_prop,K_gain,innovation,v_ekf,omega_ekf
1786949712.1270318,0.40949597191414766,-1.4445158503406865e-10,-4.503890593809956e-10,"[9.98724336e-03 7.75198351e-09 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.77816994e-08 7.75198351e-09 1.17434813e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.18806482e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.77816994e-08 4.18806482e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.98716378e-03]","[[9.98724336e-06 7.75198351e-12 2.77816994e-11]
 [7.75198351e-12 1.17434813e-05 4.18806482e-06]
 [2.77816994e-11 4.18806482e-06 9.98716378e-06]]",[-4.09500062e-01  1.41280645e-10  4.39017267e-10],0.18525804878147561,-2.319325287380991e-12
1786949712.1745236,0.41668254163209617,-1.5428219372915025e-10,-4.736935288462973e-10,"[9.98704415e-03 7.95180323e-09 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.80718208e-08 7.95180323e-09 1.18039487e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.25973588e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.80718208e-08 4.25973588e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.98693424e-03]","[[9.98704415e-06 7.95180323e-12 2.80718208e-11]
 [7.95180323e-12 1.18039487e-05 4.25973588e-06]
 [2.80718208e-11 4.25973588e-06 9.98693424e-06]]",[-4.16686703e-01  1.50972533e-10  4.62001548e-10],0.18525804878147561,-2.3191518150333934e-12
1786949712.222443,0.4244683506436872,-1.6487049851164e-10,-4.977342982215305e-10,"[9.98684501e-03 8.16630199e-09 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.84134166e-08 8.16630199e-09 1.18692784e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.33582047e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.84134166e-08 4.33582047e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.98670444e-03]","[[9.98684501e-06 8.16630199e-12 2.84134166e-11]
 [8.16630199e-12 1.18692784e-05 4.33582047e-06]
 [2.84134166e-11 4.33582047e-06 9.98670444e-06]]",[-4.24472590e-01  1.61408149e-10  4.85679053e-10],0.1815285234498542,-2.093984707851604e-12
1786949712.2724779,0.43863810109760876,-1.8682215324098147e-10,-5.482059250994098e-10,"[9.98644680e-03 8.57191100e-09 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.91504356e-08 8.57191100e-09 1.19936601e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.47711161e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.91504356e-08 4.47711161e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.98624172e-03]","[[9.98644680e-06 8.57191100e-12 2.91504356e-11]
 [8.57191100e-12 1.19936601e-05 4.47711161e-06]
 [2.91504356e-11 4.47711161e-06 9.98624172e-06]]",[-4.38642482e-01  1.83066742e-10  5.35425482e-10],0.1815285234535402,-2.291569711765362e-12
1786949712.3208861,0.4462425228499517,-1.9880564115640284e-10,-5.745484088492958e-10,"[9.98624768e-03 8.79264366e-09 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.94994685e-08 8.79264366e-09 1.20616743e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.55249689e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.94994685e-08 4.55249689e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.98600823e-03]","[[9.98624768e-06 8.79264366e-12 2.94994685e-11]
 [8.79264366e-12 1.20616743e-05 4.55249689e-06]
 [2.94994685e-11 4.55249689e-06 9.98600823e-06]]",[-4.46246979e-01  1.94886857e-10  5.61390934e-10],0.1797039340850081,-7.895767373256035e-12
1786949712.3809628,0.4529456889119856,-2.107684402647181e-10,-6.016533937724944e-10,"[9.98604850e-03 8.98954529e-09 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.97685863e-08 8.98954529e-09 1.21226121e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.61900728e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.97685863e-08 4.61900728e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.98577190e-03]","[[9.98604850e-06 8.98954529e-12 2.97685863e-11]
 [8.98954529e-12 1.21226121e-05 4.61900728e-06]
 [2.97685863e-11 4.61900728e-06 9.98577190e-06]]",[-4.52950212e-01  2.06701846e-10  5.88176619e-10],0.17789777179685318,-2.155740863596378e-12
1786949712.421942,0.4643070123649632,-2.304950503177536e-10,-6.436997601610983e-10,"[9.98574986e-03 9.32696729e-09 0.00000000e+00 0.00000000e+00
 0.00000000e+00 3.02995510e-08 9.32696729e-09 1.22277238e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.73149218e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.02995510e-08 4.73149218e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.98541737e-03]","[[9.98584943e-06 9.22188829e-12 3.01511775e-11]
 [9.22188829e-12 1.21949311e-05 4.69668433e-06]
 [3.01511775e-11 4.69668433e-06 9.98553644e-06]]",[-4.60819898e-01  2.19724732e-10  6.15736351e-10],0.17789777179685318,-2.1500162761256547e-12
1786949712.4708958,0.47431607224512135,-2.505320524381503e-10,-6.869012025845223e-10,"[9.98545113e-03 9.62874505e-09 0.00000000e+00 0.00000000e+00
 0.00000000e+00 3.07145168e-08 9.62874505e-09 1.23223560e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.83053697e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.07145168e-08 4.83053697e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.98505770e-03]","[[9.98545113e-06 9.62874505e-12 3.07145168e-11]
 [9.62874505e-12 1.23223560e-05 4.83053697e-06]
 [3.07145168e-11 4.83053697e-06 9.98505770e-06]]",[-4.74320809e-01  2.45971217e-10  6.72340406e-10],0.17611518175362,6.337118330090874e-12
1786949712.5275202,0.4813689367374052,-2.6482178261488836e-10,-7.165965598687762e-10,"[9.98525203e-03 9.84558030e-09 0.00000000e+00 0.00000000e+00
 0.00000000e+00 3.10378016e-08 9.84558030e-09 1.23907302e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.90083704e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.10378016e-08 4.90083704e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.98481713e-03]","[[9.98525203e-06 9.84558030e-12 3.10378016e-11]
 [9.84558030e-12 1.23907302e-05 4.90083704e-06]
 [3.10378016e-11 4.90083704e-06 9.98481713e-06]]",[-4.81373743e-01  2.60089040e-10  7.01664060e-10],0.17611518175431018,-1.9479209911743567e-12
1786949712.590662,0.4884609658710874,-2.7969849055794637e-10,-7.470126739406169e-10,"[9.98505293e-03 1.00648878e-08 0.00000000e+00 0.00000000e+00
 0.00000000e+00 3.13539801e-08 1.00648878e-08 1.24601680e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.97120753e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.13539801e-08 4.97120753e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.98457507e-03]","[[9.98505293e-06 1.00648878e-11 3.13539801e-11]
 [1.00648878e-11 1.24601680e-05 4.97120753e-06]
 [3.13539801e-11 4.97120753e-06 9.98457507e-06]]",[-4.88465843e-01  2.74789198e-10  7.31705807e-10],0.17434689957657343,-2.4553276078975728e-12
